,name,sys.country,coord.lat,coord.lon,main.temp_max,main.humidity,wind.speed,clouds.all
348,Lodwar,KE,3.12,35.6,75.22,67,4.92,12
349,Kungurtug,RU,50.6,97.53,14.2,67,2.91,0
350,Bata,GQ,1.87,9.77,80.08,100,4.59,56
351,Ialibu,PG,-6.28,143.99,64.06,90,2.57,44
352,Esperance,TT,10.24,-61.45,78.8,78,8.05,75
353,Port Hardy,CA,50.7,-127.42,44.6,75,5.82,90
354,Saint-Francois,FR,46.42,3.91,44.6,93,2.24,90
355,Alta Floresta,BR,-9.87,-56.08,80.21,78,3.69,12
356,Bawku,GH,11.06,-0.24,78.37,39,4.59,44
357,Galesong,ID,-5.32,119.37,78.8,88,3.36,40
358,Aguimes,ES,27.91,-15.45,73.4,20,9.17,12
359,Kathmandu,NP,27.71,85.32,55.4,82,2.68,40
360,Turukhansk,RU,65.8,87.96,-7.45,77,7.83,48
361,Oranjestad,AW,12.52,-70.03,80.6,78,16.11,20
362,Ostrovnoy,RU,68.05,39.51,14.56,92,15.77,20
363,Upernavik,GL,72.79,-56.15,-7.77,80,5.03,0
364,Kutum,SD,14.2,24.66,62.17,40,3.91,0
365,Sapouy,BF,11.55,-1.77,75.4,39,3.36,12
366,Royan,FR,45.62,-1.03,44.6,93,3.36,0
367,Acajutla,SV,13.59,-89.83,86.0,48,6.93,0
368,Airai,TL,-8.93,125.41,73.78,90,1.9,32
369,Indian Head,CA,50.53,-103.67,17.75,91,7.16,0
370,Suntar,RU,62.16,117.65,27.7,80,7.61,88
371,Sinnamary,GF,5.38,-52.96,77.33,100,9.73,92
372,Dong Hoi,VN,17.48,106.6,72.43,96,4.59,8
373,Sorland,NO,67.67,12.69,38.18,100,15.55,88
374,Nizhniy Kuranakh,RU,58.84,125.49,20.63,64,6.93,0
375,Vila Franca do Campo,PT,37.72,-25.43,55.4,58,6.93,75
376,Vostok,RU,46.45,135.83,29.18,59,4.14,36
377,Mwene-Ditu,CD,-7.01,23.45,66.58,98,3.58,100
378,Ulladulla,AU,-35.36,150.48,75.2,60,2.24,0
379,Heihe,RU,50.24,127.51,32.0,57,6.71,0
380,Zabaykalsk,CN,49.64,117.33,24.19,52,6.71,0
381,Sungaipenuh,ID,-2.08,101.38,65.59,94,1.23,88
382,Marfino,RU,56.07,37.56,11.41,78,4.47,0
383,Maceio,BR,-9.67,-35.74,78.8,88,9.17,40
384,San Carlos,VE,9.66,-68.59,78.8,83,6.49,20
385,East London,ZA,-33.02,27.91,74.0,100,6.93,92
386,Shimoda,JP,34.7,138.93,66.2,72,12.75,20
387,Huanren,CN,41.26,125.37,39.71,60,4.59,0
388,Klyuchi,RU,52.25,79.17,12.98,65,3.36,0
389,Kulhudhuffushi,MV,6.62,73.07,82.96,100,1.34,12
390,Estevan,CA,49.14,-102.99,23.9,73,11.41,75
391,Ola,RU,59.58,151.3,24.8,79,4.47,90
392,Ponta do Sol,BR,-20.63,-46.0,70.63,66,4.36,68
393,Tateyama,JP,36.66,137.31,64.4,34,4.7,0
394,Rawson,AR,-43.3,-65.11,74.05,26,14.2,0
395,Atambua,ID,-9.11,124.89,73.28,100,1.57,88
396,Oni,GE,42.59,43.44,40.16,69,2.13,100
397,Jalu,LY,29.03,21.55,54.11,72,9.73,0
398,Pangkalanbuun,ID,-2.68,111.62,77.29,93,4.25,88
399,Kiunga,PG,-6.12,141.3,74.14,99,2.8,92
400,Vendas Novas,PT,38.68,-8.46,53.82,87,8.05,20
401,Basco,US,40.33,-91.2,44.6,93,3.13,90
402,Dicabisagan,PH,17.08,122.42,69.5,100,6.6,100
403,Novoagansk,RU,61.94,76.66,3.08,75,7.61,68
404,Pucallpa,PE,-8.38,-74.54,80.6,74,4.7,40
405,Coquimbo,CL,-29.95,-71.34,60.68,100,4.7,0
406,Okulovka,RU,58.37,33.3,14.83,71,7.61,64
407,Preobrazheniye,RU,42.9,133.91,39.71,43,4.03,0
408,Luanda,AO,-8.83,13.24,78.86,93,5.26,64
409,Half Moon Bay,US,37.46,-122.43,74.68,42,11.41,1
410,Ketchikan,US,55.34,-131.65,43.79,70,4.7,90
411,Timra,SE,62.49,17.33,8.87,92,2.35,0
412,Poso,ID,-1.4,120.75,78.73,100,2.24,56
413,Nioro,GM,13.79,-15.05,77.15,40,5.93,0
414,Kapit,MY,2.02,112.94,72.88,99,2.8,92
415,Soure,PT,40.06,-8.63,51.8,87,8.05,40
416,Gazanjyk,TM,39.24,55.52,55.46,87,2.35,48
417,Torre del campo,ES,36.95,-2.17,55.4,87,2.91,12
418,Bay Roberts,CA,47.58,-53.28,37.4,100,9.17,90
419,Gorontalo,ID,0.54,123.06,77.29,92,2.13,8
420,Batagay-Alyta,RU,67.8,130.41,-4.39,60,2.68,24
421,Kannur,IN,11.88,75.37,75.71,88,1.68,76
422,Berlevag,NO,70.86,29.09,30.04,100,9.84,88
423,Longyearbyen,NO,78.22,15.63,10.4,60,5.82,75
424,Minab,IR,27.15,57.07,68.0,94,4.7,0
425,Richards Bay,ZA,-28.77,32.06,72.65,79,10.96,0
426,Hit,IQ,33.64,42.83,68.74,57,9.4,36
